subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
20,1,1,Azul,Leão,Cavalo,MARINHO,1,MARINHO,162675,1,1,148219,14456
20,1,2,Boi,Espada,Palhaço,PEIXE,1,PEIXE,171255,1,1,164789,6466
20,1,3,Caipira,Pé,Sobrecoxa,GALINHA,1,FRANGO,181793,0,1,172827,8966
20,1,4,Velho,Princesa,Cara,COROA,1,PESSOA,201329,0,1,187125,14204
20,1,5,Chuva,Roupa,Civil,GUARDA,1,<NO_RESPONSE>,234452,0,1,204427,30025
20,1,6,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,246612,1,1,238957,7655
20,1,7,Árvore,Suco,Cor,VERDE,1,VERDE,255692,1,1,248714,6978
20,1,8,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,264677,1,1,259525,5152
20,1,9,Curva,Flecha,Reflexo,ARCO,1,PONTA,293358,0,1,267939,25419
20,1,10,Ar,Doa,O,DOR,1,<NO_RESPONSE>,317997,0,1,294508,23489
20,1,11,Fio,Termo,Dia,MEIO,1,MEIO,336172,1,1,327533,8639
20,1,12,Gola,Aquático,Petroquímico,POLO,1,<NO_RESPONSE>,369974,0,1,339931,30043
20,1,13,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,383742,1,1,375764,7978
20,1,14,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,391519,1,1,385773,5746
20,1,15,Sol,Normal,Raio,PARA,1,<NO_RESPONSE>,422796,0,1,392771,30025
20,1,16,Aranha,Prego,Hidraúlico,MACACO,1,MACACO,438489,1,1,430899,7590
20,1,17,Batata,Chave,Língua,INGLESA,1,<NO_RESPONSE>,470376,0,1,440361,30015
20,1,18,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,492535,0,1,477289,15246
20,1,19,Tomate,Bolo,Vermelha,CEREJA,1,<NO_RESPONSE>,524877,0,1,494858,30019
20,1,20,Camisa,Fruta,Mangueira,MANGA,1,MANGA,561373,1,1,531968,29405
20,1,21,Cabelo,Papel,Vídeo,CLIPE,1,<NO_RESPONSE>,591885,0,1,562529,29356
20,1,22,Sangue,Planta,Pote,VASO,1,<NO_RESPONSE>,618846,0,1,595283,23563
20,1,23,Canindé,Cabideiro,Palíndromo,ARARA,1,ARARA,634357,1,1,627428,6929
20,1,24,Doida,Cuidador,Cidade,IDA,1,<NO_RESPONSE>,665641,0,1,636947,28694
20,1,25,Pão,Limão,Abelha,MEL,1,MEL,702904,1,1,673780,29124
20,1,26,Bala,Estação,Vapor,TREM,1,TREM,716702,1,1,706876,9826
20,1,27,Violino,Piano,Rapel,CORDA,1,<NO_RESPONSE>,739006,0,1,720452,18554
20,1,28,Pepino,Estrela,Aberto,MAR,1,<NO_RESPONSE>,769173,0,1,747633,21540
20,1,29,Coco,Integral,Dente,LEITE,1,LEITE,786087,1,1,774204,11883
20,1,30,Cara,Perna,Pica,PAU,1,AU,795033,0,1,786787,8246
