subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
39,1,1,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,167617,1,1,150784,16833
39,1,2,Tomate,Bolo,Vermelha,CEREJA,1,CEREJA,183029,1,1,170062,12967
39,1,3,Cara,Perna,Pica,PAU,1,PAU,190437,1,1,184261,6176
39,1,4,Doida,Cuidador,Cidade,IDA,1,<NO_RESPONSE>,219829,0,1,191556,28273
39,1,5,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,250735,0,1,225566,25169
39,1,6,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,269479,1,1,257238,12241
39,1,7,Gola,Aquático,Petroquímico,POLO,1,POLO,288390,1,1,270323,18067
39,1,8,Azul,Leão,Cavalo,MARINHO,1,MARINHO,301760,1,1,289259,12501
39,1,9,Bala,Estação,Vapor,TREM,1,TREM,308522,1,1,302454,6068
39,1,10,Camisa,Fruta,Mangueira,MANGA,1,MANGA,315357,1,1,309236,6121
39,1,11,Ar,Doa,O,DOR,1,<NO_RESPONSE>,332338,0,1,316019,16319
39,1,12,Batata,Chave,Língua,INGLESA,1,<NO_RESPONSE>,365498,0,1,336321,29177
39,1,13,Coco,Integral,Dente,LEITE,1,LEITE,373902,1,1,369238,4664
39,1,14,Árvore,Suco,Cor,VERDE,1,FRUTA,380213,0,1,374703,5510
39,1,15,Pepino,Estrela,Aberto,MAR,1,MAR,393013,1,1,384855,8158
39,1,16,Violino,Piano,Rapel,CORDA,1,CORDA,415846,1,1,395874,19972
39,1,17,Fio,Termo,Dia,MEIO,1,CALENDARIO,445017,0,1,417305,27712
39,1,18,Chuva,Roupa,Civil,GUARDA,1,GUARDA,458310,1,1,447346,10964
39,1,19,Pão,Limão,Abelha,MEL,1,MEL,472873,1,1,459516,13357
39,1,20,Velho,Princesa,Cara,COROA,1,IDADE,503732,0,1,474946,28786
39,1,21,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,512381,1,1,508008,4373
39,1,22,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,521220,1,1,513097,8123
39,1,23,Curva,Flecha,Reflexo,ARCO,1,ARCO,537111,1,1,523731,13380
39,1,24,Aranha,Prego,Hidraúlico,MACACO,1,MACACO,548885,1,1,539210,9675
39,1,25,Cabelo,Papel,Vídeo,CLIPE,1,<NO_RESPONSE>,577763,0,1,549430,28333
39,1,26,Sangue,Planta,Pote,VASO,1,SEIVA,608602,0,1,583655,24947
39,1,27,Boi,Espada,Palhaço,PEIXE,1,PEIXE,627413,1,1,609621,17792
39,1,28,Sol,Normal,Raio,PARA,1,PARA,646909,1,1,628811,18098
39,1,29,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,653720,1,1,648315,5405
39,1,30,Peito,Pato,Trabalho,BICO,1,FRANGO,678757,0,1,654933,23824
