subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
99,1,1,Cara,Perna,Pica,PAU,1,A,131646,0,1,105769,25877
99,1,2,Árvore,Suco,Cor,VERDE,1,FRUTA,179196,0,1,158528,20668
99,1,3,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,212780,0,1,182745,30035
99,1,4,Velho,Princesa,Cara,COROA,1,COROA,235364,1,1,219473,15891
99,1,5,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,252608,1,1,243641,8967
99,1,6,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,272896,1,1,254149,18747
99,1,7,Sol,Normal,Raio,PARA,1,CEU,296784,0,1,279049,17735
99,1,8,Doida,Cuidador,Cidade,IDA,1,VELHA,326976,0,1,314393,12583
99,1,9,Gola,Aquático,Petroquímico,POLO,1,AGUA,380962,0,1,350917,30045
99,1,10,Sangue,Planta,Pote,VASO,1,NATUREZA,408739,0,1,381395,27344
99,1,11,Cabelo,Papel,Vídeo,CLIPE,1,CORTE,442895,0,1,414580,28315
99,1,12,Bala,Estação,Vapor,TREM,1,ARMA,476383,0,1,448878,27505
99,1,13,Pepino,Estrela,Aberto,MAR,1,MAR,504157,1,1,490219,13938
99,1,14,Camisa,Fruta,Mangueira,MANGA,1,AGUA,536177,0,1,506153,30024
99,1,16,Pão,Limão,Abelha,MEL,1,MEL,596428,1,1,567097,29331
99,1,17,Batata,Chave,Língua,INGLESA,1,INGLESA,621008,1,1,599661,21347
99,1,18,Chuva,Roupa,Civil,GUARDA,1,APOCALIPSE,654032,0,1,625145,28887
99,1,19,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,671678,1,1,657582,14096
99,1,20,Boi,Espada,Palhaço,PEIXE,1,PEIXE,680229,1,1,673319,6910
99,1,21,Ar,Doa,O,DOR,1,VOGAL,701952,0,1,681432,20520
99,1,22,Violino,Piano,Rapel,CORDA,1,CLASSICA,793393,0,1,763368,30025
99,1,23,Canindé,Cabideiro,Palíndromo,ARARA,1,IN,831393,0,1,806207,25186
99,1,24,Curva,Flecha,Reflexo,ARCO,1,ARCO,897608,1,1,880989,16619
99,1,25,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,905729,1,1,898916,6813
99,1,26,Fio,Termo,Dia,MEIO,1,<NO_RESPONSE>,938231,0,1,908207,30024
99,1,27,Coco,Integral,Dente,LEITE,1,PASTA,957574,0,1,946734,10840
99,1,28,Azul,Leão,Cavalo,MARINHO,1,<NO_RESPONSE>,1020885,0,1,990862,30023
99,1,29,Tomate,Bolo,Vermelha,CEREJA,1,COR,1065183,0,1,1054542,10641
99,1,30,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,1113663,1,1,1107024,6639
,,,,,,,,,,11,,,
