subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
21,1,1,Azul,Leão,Cavalo,MARINHO,1,MARINHO,80493,1,1,52829,27664
21,1,2,Pepino,Estrela,Aberto,MAR,1,MAR,104034,1,1,83215,20819
21,1,3,Doida,Cuidador,Cidade,IDA,1,HOSPITAL,121924,0,1,105951,15973
21,1,4,Boi,Espada,Palhaço,PEIXE,1,PEIXE,149259,1,1,132791,16468
21,1,5,Violino,Piano,Rapel,CORDA,1,MUSICA,174281,0,1,149927,24354
21,1,6,Pão,Limão,Abelha,MEL,1,ALIMENTO,203126,0,1,176101,27025
21,1,7,Coco,Integral,Dente,LEITE,1,PASTA,236260,0,1,212598,23662
21,1,8,Caipira,Pé,Sobrecoxa,GALINHA,1,FRANGO,271450,0,1,254566,16884
21,1,9,Camisa,Fruta,Mangueira,MANGA,1,MANGA,312062,1,1,299736,12326
21,1,10,Cabelo,Papel,Vídeo,CLIPE,1,CAMERA,338712,0,1,321246,17466
21,1,11,Ar,Doa,O,DOR,1,SILABA,386110,0,1,357367,28743
21,1,12,Sangue,Planta,Pote,VASO,1,VIDA,430107,0,1,409007,21100
21,1,13,Árvore,Suco,Cor,VERDE,1,FRUTA,461309,0,1,437854,23455
21,1,14,Velho,Princesa,Cara,COROA,1,COROA,516115,1,1,489303,26812
21,1,15,Mola,Queixo,Cabeça,QUEBRA,1,<NO_RESPONSE>,547719,0,1,517702,30017
21,1,16,Cara,Perna,Pica,PAU,1,MOSQUITO,576536,0,1,551031,25505
21,1,17,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,605368,1,1,583166,22202
21,1,18,Sol,Normal,Raio,PARA,1,PARA,630651,1,1,607552,23099
21,1,19,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,654851,1,1,632390,22461
21,1,20,Tomate,Bolo,Vermelha,CEREJA,1,MASSA,685844,0,1,655831,30013
21,1,21,Pantera,Ovelha,Viúva,NEGRA,1,<NO_RESPONSE>,733618,0,1,703583,30035
21,1,22,Curva,Flecha,Reflexo,ARCO,1,ARCO,761320,1,1,741896,19424
21,1,23,Aranha,Prego,Hidraúlico,MACACO,1,TEIA,791043,0,1,765944,25099
21,1,24,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,839362,0,1,809336,30026
21,1,25,Fio,Termo,Dia,MEIO,1,<NO_RESPONSE>,878940,0,1,848928,30012
21,1,26,Batata,Chave,Língua,INGLESA,1,INGLES,906715,0,1,881559,25156
21,1,27,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,950765,0,1,920753,30012
21,1,28,Bala,Estação,Vapor,TREM,1,TREM,999085,1,1,987623,11462
21,1,29,Chuva,Roupa,Civil,GUARDA,1,GUARDA,1017501,1,1,1000735,16766
21,1,30,Gola,Aquático,Petroquímico,POLO,1,POLO,1036783,1,1,1018951,17832
