subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
26,1,1,Coco,Integral,Dente,LEITE,1,LEITE,43859,1,1,37612,6247
26,1,2,Pepino,Estrela,Aberto,MAR,1,MAR,59711,1,1,47589,12122
26,1,3,Gola,Aquático,Petroquímico,POLO,1,POLO,73953,1,1,62673,11280
26,1,4,Batata,Chave,Língua,INGLESA,1,INGLESA,91139,1,1,75747,15392
26,1,5,Árvore,Suco,Cor,VERDE,1,LARANJA,103753,0,1,95690,8063
26,1,6,Ar,Doa,O,DOR,1,<NO_RESPONSE>,139421,0,1,109409,30012
26,1,7,Violino,Piano,Rapel,CORDA,1,CORDA,158377,1,1,148756,9621
26,1,8,Boi,Espada,Palhaço,PEIXE,1,PEIXE,171947,1,1,160466,11481
26,1,9,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,179983,1,1,174022,5961
26,1,10,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,189633,1,1,181863,7770
26,1,11,Camisa,Fruta,Mangueira,MANGA,1,MANGA,205732,1,1,192478,13254
26,1,12,Aranha,Prego,Hidraúlico,MACACO,1,MACACO,215478,1,1,208004,7474
26,1,13,Curva,Flecha,Reflexo,ARCO,1,ARCO,233089,1,1,218114,14975
26,1,14,Cara,Perna,Pica,PAU,1,PAU,265061,1,1,240758,24303
26,1,15,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,294700,1,1,269288,25412
26,1,16,Bala,Estação,Vapor,TREM,1,TREM,305614,1,1,297066,8548
26,1,17,Tomate,Bolo,Vermelha,CEREJA,1,CEREJA,319983,1,1,307449,12534
26,1,18,Doida,Cuidador,Cidade,IDA,1,<NO_RESPONSE>,351624,0,1,321612,30012
26,1,19,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,398692,0,1,368682,30010
26,1,20,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,410319,1,1,405066,5253
26,1,21,Azul,Leão,Cavalo,MARINHO,1,MARINHO,418552,1,1,412554,5998
26,1,22,Sangue,Planta,Pote,VASO,1,<NO_RESPONSE>,452654,0,1,422640,30014
26,1,23,Chuva,Roupa,Civil,GUARDA,1,GUARDA,469659,1,1,459621,10038
26,1,24,Sol,Normal,Raio,PARA,1,PARA,482582,1,1,474294,8288
26,1,25,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,494509,1,1,484361,10148
26,1,26,Cabelo,Papel,Vídeo,CLIPE,1,FITA,510897,0,1,495771,15126
26,1,27,Pão,Limão,Abelha,MEL,1,MEL,533118,1,1,516151,16967
26,1,28,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,564892,0,1,534880,30012
26,1,29,Velho,Princesa,Cara,COROA,1,RAINHA,605967,0,1,577280,28687
26,1,30,Fio,Termo,Dia,MEIO,1,MEIO,617134,1,1,611879,5255
