subnum,block,trial,w1,w2,w3,corranswer,tries,answer,trytime,corr,finaltry,time0,rt
14,1,1,Bala,Estação,Vapor,TREM,1,TREM,107354,1,1,97242,10112
14,1,2,Cara,Perna,Pica,PAU,1,PAU,120325,1,1,113014,7311
14,1,3,Fio,Termo,Dia,MEIO,1,METRO,138645,0,1,123274,15371
14,1,4,Mola,Queixo,Cabeça,QUEBRA,1,QUEBRA,150670,1,1,143023,7647
14,1,5,Caipira,Pé,Sobrecoxa,GALINHA,1,GALINHA,168236,1,1,151379,16857
14,1,6,Peito,Pato,Trabalho,BICO,1,<NO_RESPONSE>,199287,0,1,169258,30029
14,1,7,Aranha,Prego,Hidraúlico,MACACO,1,<NO_RESPONSE>,233947,0,1,203917,30030
14,1,8,Boi,Espada,Palhaço,PEIXE,1,<NO_RESPONSE>,268270,0,1,238247,30023
14,1,9,Tomate,Bolo,Vermelha,CEREJA,1,FRUTA,302884,0,1,277658,25226
14,1,10,Canindé,Cabideiro,Palíndromo,ARARA,1,<NO_RESPONSE>,361426,0,1,331392,30034
14,1,11,Batata,Chave,Língua,INGLESA,1,INGLESA,389321,1,1,382459,6862
14,1,12,Pepino,Estrela,Aberto,MAR,1,MAR,398054,1,1,391133,6921
14,1,14,Sangue,Planta,Pote,VASO,1,SEIVA,448018,0,1,434554,13464
14,1,15,Sol,Normal,Raio,PARA,1,<NO_RESPONSE>,523268,0,1,493232,30036
14,1,16,Árvore,Suco,Cor,LARANJA,1,LARANJA,555610,1,1,545128,10482
14,1,17,Gola,Aquático,Petroquímico,POLO,1,POLO,567396,1,1,556730,10666
14,1,18,Doida,Cuidador,Cidade,IDA,1,HOSPITAL,595488,0,1,568592,26896
14,1,19,Velho,Princesa,Cara,COROA,1,REI,623099,0,1,611610,11489
14,1,20,Camisa,Fruta,Mangueira,MANGA,1,MANGA,642748,1,1,636278,6470
14,1,22,Minas,Suíço,Prato,QUEIJO,1,QUEIJO,693771,1,1,674880,18891
14,1,23,Pantera,Ovelha,Viúva,NEGRA,1,NEGRA,700613,1,1,695712,4901
14,1,24,Chuva,Roupa,Civil,GUARDA,1,GUARDA,706310,1,1,701324,4986
14,1,25,Cerâmica,Sopa,Pressão,PANELA,1,PANELA,716396,1,1,707060,9336
14,1,26,Cabelo,Papel,Vídeo,CLIPE,1,<NO_RESPONSE>,747461,0,1,717421,30040
14,1,27,Azul,Leão,Cavalo,MARINHO,1,MARINHO,766730,1,1,747744,18986
14,1,28,Curva,Flecha,Reflexo,ARCO,1,ARCO,785170,1,1,767365,17805
14,1,29,Violino,Piano,Rapel,CORDA,1,CORDA,795505,1,1,786412,9093
14,1,30,Pão,Limão,Abelha,MEL,1,MEL,814336,1,1,796118,18218
